"id","nct_id","name","removed"
39056384,"NCT00035997","United States",FALSE
38570247,"NCT00036075","United States",FALSE
38597031,"NCT00036335","United States",FALSE
38643214,"NCT00036543","United States",FALSE
38643215,"NCT00036543","Australia",FALSE
38643216,"NCT00036543","Austria",FALSE
38643217,"NCT00036543","Belgium",FALSE
38643218,"NCT00036543","Canada",FALSE
38643219,"NCT00036543","France",FALSE
38643220,"NCT00036543","Germany",FALSE
38643221,"NCT00036543","Greece",FALSE
38643222,"NCT00036543","Ireland",FALSE
38643223,"NCT00036543","Italy",FALSE
38643224,"NCT00036543","Netherlands",FALSE
38643225,"NCT00036543","New Zealand",FALSE
38643226,"NCT00036543","Poland",FALSE
38643227,"NCT00036543","South Africa",FALSE
38643228,"NCT00036543","Spain",FALSE
38643229,"NCT00036543","Sweden",FALSE
38643230,"NCT00036543","Switzerland",FALSE
38643231,"NCT00036543","United Kingdom",FALSE
38558909,"NCT00036686","United States",FALSE
39059301,"NCT00036712","United States",FALSE
38611071,"NCT00036790","United States",FALSE
39062135,"NCT00036829","United States",FALSE
38679079,"NCT00036868","Belgium",FALSE
38679080,"NCT00036868","Denmark",FALSE
38679081,"NCT00036868","Egypt",FALSE
38679082,"NCT00036868","France",FALSE
38679083,"NCT00036868","Netherlands",FALSE
38679084,"NCT00036868","Poland",FALSE
38679085,"NCT00036868","Serbia",FALSE
38679086,"NCT00036868","South Africa",FALSE
38679087,"NCT00036868","United Kingdom",FALSE
38469968,"NCT00036933","United States",FALSE
39008688,"NCT00036985","United States",FALSE
38413741,"NCT00036998","United States",FALSE
38413742,"NCT00036998","United Kingdom",FALSE
38777302,"NCT00037024","United States",FALSE
38751511,"NCT00037752","United States",FALSE
38504008,"NCT00037934","United States",FALSE
38545184,"NCT00038168","United States",FALSE
38798074,"NCT00038181","United States",FALSE
38616712,"NCT00038194","United States",FALSE
38880926,"NCT00038246","United States",FALSE
38794920,"NCT00038402","United States",FALSE
38567952,"NCT00038727","United States",FALSE
38502256,"NCT00039052","United States",FALSE
38733105,"NCT00039286","United States",FALSE
38845546,"NCT00039299","United States",FALSE
38768803,"NCT00039520","United States",FALSE
38668850,"NCT00039546","United Kingdom",FALSE
38854021,"NCT00039624","United States",FALSE
38614737,"NCT00039650","United States",FALSE
39070981,"NCT00039715","United States",FALSE
38466140,"NCT00039819","United States",FALSE
38753967,"NCT00039845","United States",FALSE
38673637,"NCT00039936","United States",FALSE
38830734,"NCT00040235","United States",FALSE
39039439,"NCT00040261","United States",FALSE
38628553,"NCT00040833","United States",FALSE
38556025,"NCT00041067","United States",FALSE
38668947,"NCT00041119","United States",FALSE
38668948,"NCT00041119","South Africa",FALSE
38626410,"NCT00041223","United Kingdom",FALSE
38562724,"NCT00041301","Australia",FALSE
38562725,"NCT00041301","Belgium",FALSE
38562726,"NCT00041301","Denmark",FALSE
38562727,"NCT00041301","France",FALSE
38562728,"NCT00041301","Germany",FALSE
38562729,"NCT00041301","Italy",FALSE
38562730,"NCT00041301","Netherlands",FALSE
38562731,"NCT00041301","Norway",FALSE
38562732,"NCT00041301","Romania",FALSE
38562733,"NCT00041301","Turkey",FALSE
38562734,"NCT00041301","United Kingdom",FALSE
38928330,"NCT00041470","United States",FALSE
38532944,"NCT00041652","United States",FALSE
38734295,"NCT00041847","United States",FALSE
38607399,"NCT00041899","United States",FALSE
38476795,"NCT00041938","United States",FALSE
38476796,"NCT00041938","Canada",FALSE
38614661,"NCT00042081","United States",FALSE
38524775,"NCT00042133","United States",FALSE
38470036,"NCT00042198","United States",FALSE
38869792,"NCT00042211","United States",FALSE
38924720,"NCT00042237","United States",FALSE
38585183,"NCT00042380","United States",FALSE
38480460,"NCT00042731","United States",FALSE
38948077,"NCT00043017","United States",FALSE
38529681,"NCT00043069","United States",FALSE
38529682,"NCT00043069","Canada",FALSE
38937172,"NCT00043472","United States",FALSE
39029524,"NCT00043550","United States",FALSE
38755801,"NCT00043576","United States",FALSE
38755802,"NCT00043576","Canada",FALSE
