,nct_id,start_date,phase,year,BreastCancer,ProstateCancer,Stroke,HeartFailure,Pain,Obesity,Cancer,Depression,Hypertension,Anxiety,UnitedStates,Canada,China,France,Germany,UnitedKingdom,Korea,Italy,Spain,Turkey
7112,NCT04696653,2021/2/24,NA,2021,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7113,NCT04696770,2019/4/1,NA,2019,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
7114,NCT04696900,2020/6/1,NA,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7115,NCT04696991,2019/2/4,NA,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7116,NCT04697082,2018/3/1,NA,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7117,NCT04697264,2021/4/12,NA,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7118,NCT04697368,2020/7/24,NA,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7119,NCT04697914,2021/2/20,NA,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7120,NCT04698369,2021/8/30,NA,2021,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7121,NCT04698564,2020/12/1,PHASE2,2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7122,NCT04699331,2021/1/29,NA,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7123,NCT04700332,2021/2/1,PHASE2,2021,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7124,NCT04700553,2023/7/1,NA,2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7125,NCT04700800,2021/10/7,NA,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7126,NCT04700917,2021/3/16,NA,2021,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
7127,NCT04701463,2020/1/15,NA,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7128,NCT04701736,2017/1/31,NA,2017,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7129,NCT04703764,2021/2/15,PHASE1,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7130,NCT04703842,2021/9/23,PHASE1/PHASE2,2021,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7131,NCT04704336,2021/9/13,NA,2021,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7132,NCT04705038,2020/12/18,NA,2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7133,NCT04705480,2021/4/12,PHASE4,2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7134,NCT04705779,2021/5/20,NA,2021,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7135,NCT04705883,2020/9/1,PHASE4,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7136,NCT04706806,2020/9/29,NA,2020,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7137,NCT04706962,2021/3/4,PHASE1,2021,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7138,NCT04707261,2021/8/6,PHASE4,2021,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7139,NCT04707313,2021/1/29,PHASE2,2021,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7140,NCT04707352,2021/2/8,PHASE3,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7141,NCT04707378,2020/12/30,NA,2020,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7142,NCT04708028,2021/7/26,NA,2021,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7143,NCT04708275,2020/2/24,NA,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7144,NCT04708769,2021/3/16,NA,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7145,NCT04708860,2021/1/15,NA,2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7146,NCT04709549,2021/2/10,NA,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
